Model,Architecture,Device,Time_seconds
TVAE,"(32, 16)",CPU,0.471
TVAE,"(32, 16)",CPU,0.4423
TVAE,"(32, 16)",CPU,0.399
TVAE,"(32, 16)",CPU,0.5932
TVAE,"(32, 16)",CPU,0.6385
TVAE,"(32, 16)",CPU,0.6682
TVAE,"(32, 16)",CPU,0.4686
TVAE,"(32, 16)",CPU,0.4077
TVAE,"(32, 16)",CPU,0.3751
TVAE,"(32, 16)",CPU,0.4178
TVAE,"(32, 16)",CPU,0.4001
TVAE,"(32, 16)",CPU,0.331
TVAE,"(32, 16)",CPU,0.3233
TVAE,"(32, 16)",CPU,0.352
TVAE,"(32, 16)",CPU,0.3422
TVAE,"(32, 16)",CPU,0.3952
TVAE,"(32, 16)",CPU,0.3884
TVAE,"(32, 16)",CPU,0.3329
TVAE,"(32, 16)",CPU,0.2993
TVAE,"(32, 16)",CPU,0.3309
TVAE,"(32, 16)",CPU,0.3454
TVAE,"(32, 16)",CPU,0.3587
TVAE,"(32, 16)",CPU,0.3924
TVAE,"(32, 16)",CPU,0.4651
TVAE,"(32, 16)",CPU,0.3675
TVAE,"(32, 16)",CPU,0.3647
TVAE,"(32, 16)",CPU,0.3234
TVAE,"(32, 16)",CPU,0.3695
TVAE,"(32, 16)",CPU,0.3324
TVAE,"(32, 16)",CPU,0.3533
TVAE,"(32, 16)",CPU,0.3991
TVAE,"(32, 16)",CPU,0.4572
TVAE,"(32, 16)",CPU,0.311
TVAE,"(32, 16)",CPU,0.367
TVAE,"(32, 16)",CPU,0.499
TVAE,"(32, 16)",CPU,0.5883
TVAE,"(32, 16)",CPU,0.3828
TVAE,"(32, 16)",CPU,0.4148
TVAE,"(32, 16)",CPU,0.4177
TVAE,"(32, 16)",CPU,0.496
TVAE,"(32, 16)",CPU,0.3252
TVAE,"(32, 16)",CPU,0.3182
TVAE,"(32, 16)",CPU,0.3478
TVAE,"(32, 16)",CPU,0.6247
TVAE,"(32, 16)",CPU,0.3615
TVAE,"(32, 16)",CPU,0.3837
TVAE,"(32, 16)",CPU,0.3766
TVAE,"(32, 16)",CPU,0.4111
TVAE,"(32, 16)",CPU,0.5345
TVAE,"(32, 16)",CPU,0.3863
TVAE,"(32, 16)",CPU,0.5297
TVAE,"(32, 16)",CPU,0.4474
TVAE,"(32, 16)",CPU,0.3465
TVAE,"(32, 16)",CPU,0.3594
TVAE,"(32, 16)",CPU,0.3672
TVAE,"(32, 16)",CPU,0.2918
TVAE,"(32, 16)",CPU,0.3624
TVAE,"(32, 16)",CPU,0.3591
TVAE,"(32, 16)",CPU,0.3492
TVAE,"(32, 16)",CPU,0.3587
TVAE,"(32, 16)",CPU,0.4328
TVAE,"(32, 16)",CPU,0.3686
TVAE,"(32, 16)",CPU,0.5192
TVAE,"(32, 16)",CPU,0.3905
TVAE,"(32, 16)",CPU,0.4333
TVAE,"(32, 16)",CPU,0.3976
TVAE,"(32, 16)",CPU,0.3448
TVAE,"(32, 16)",CPU,0.3595
TVAE,"(32, 16)",CPU,0.3458
TVAE,"(32, 16)",CPU,0.4499
TVAE,"(32, 16)",CPU,0.3587
TVAE,"(32, 16)",CPU,0.4005
TVAE,"(32, 16)",CPU,0.3855
TVAE,"(32, 16)",CPU,0.3736
TVAE,"(32, 16)",CPU,0.355
TVAE,"(32, 16)",CPU,0.3852
TVAE,"(32, 16)",CPU,0.5286
TVAE,"(32, 16)",CPU,0.401
TVAE,"(32, 16)",CPU,0.3374
TVAE,"(32, 16)",CPU,0.3847
TVAE,"(32, 16)",CPU,0.3483
TVAE,"(32, 16)",CPU,0.4153
TVAE,"(32, 16)",CPU,0.4287
TVAE,"(32, 16)",CPU,0.3351
TVAE,"(32, 16)",CPU,0.38
TVAE,"(32, 16)",CPU,0.519
TVAE,"(32, 16)",CPU,0.4554
TVAE,"(32, 16)",CPU,0.4102
TVAE,"(32, 16)",CPU,0.4134
TVAE,"(32, 16)",CPU,0.3557
TVAE,"(32, 16)",CPU,0.3333
TVAE,"(32, 16)",CPU,0.405
TVAE,"(32, 16)",CPU,0.3531
TVAE,"(32, 16)",CPU,0.5184
TVAE,"(32, 16)",CPU,0.3351
TVAE,"(32, 16)",CPU,0.3089
TVAE,"(32, 16)",CPU,0.3656
TVAE,"(32, 16)",CPU,0.2869
TVAE,"(32, 16)",CPU,0.3569
TVAE,"(32, 16)",CPU,0.4427
TVAE,"(32, 16)",CPU,0.3266
TVAE,"(32, 16)",CPU,0.3022
TVAE,"(32, 16)",CPU,0.315
TVAE,"(32, 16)",CPU,0.2788
TVAE,"(32, 16)",CPU,0.3564
TVAE,"(32, 16)",CPU,0.3005
TVAE,"(32, 16)",CPU,0.3241
TVAE,"(32, 16)",CPU,0.3371
TVAE,"(32, 16)",CPU,0.3299
TVAE,"(32, 16)",CPU,0.3454
TVAE,"(32, 16)",CPU,0.4444
TVAE,"(32, 16)",CPU,0.4079
TVAE,"(32, 16)",CPU,0.355
TVAE,"(32, 16)",CPU,0.4332
TVAE,"(32, 16)",CPU,0.3373
TVAE,"(32, 16)",CPU,0.3684
TVAE,"(32, 16)",CPU,0.3277
TVAE,"(32, 16)",CPU,0.3199
TVAE,"(32, 16)",CPU,0.3193
TVAE,"(32, 16)",CPU,0.3558
TVAE,"(32, 16)",CPU,0.393
TVAE,"(32, 16)",CPU,0.3863
TVAE,"(32, 16)",CPU,0.4417
TVAE,"(32, 16)",CPU,0.4141
TVAE,"(32, 16)",CPU,0.3113
TVAE,"(32, 16)",CPU,0.303
TVAE,"(32, 16)",CPU,0.4251
TVAE,"(32, 16)",CPU,0.3041
TVAE,"(32, 16)",CPU,0.378
TVAE,"(32, 16)",CPU,0.2838
TVAE,"(32, 16)",CPU,0.3093
TVAE,"(32, 16)",CPU,0.3255
TVAE,"(32, 16)",CPU,0.3463
TVAE,"(32, 16)",CPU,0.3255
TVAE,"(32, 16)",CPU,0.5434
TVAE,"(32, 16)",CPU,0.5362
TVAE,"(32, 16)",CPU,0.6359
TVAE,"(32, 16)",CPU,0.4544
TVAE,"(32, 16)",CPU,0.5137
TVAE,"(32, 16)",CPU,0.3522
TVAE,"(32, 16)",CPU,0.5851
TVAE,"(32, 16)",CPU,0.381
TVAE,"(32, 16)",CPU,0.4879
TVAE,"(32, 16)",CPU,0.4435
TVAE,"(32, 16)",CPU,0.4024
TVAE,"(32, 16)",CPU,0.3995
TVAE,"(32, 16)",CPU,0.5121
TVAE,"(32, 16)",CPU,0.3376
TVAE,"(32, 16)",CPU,0.3888
TVAE,"(32, 16)",CPU,0.3088
TVAE,"(32, 16)",CPU,0.396
TVAE,"(32, 16)",CPU,0.4308
TVAE,"(32, 16)",CPU,0.3603
TVAE,"(32, 16)",CPU,0.3643
TVAE,"(32, 16)",CPU,0.3869
TVAE,"(32, 16)",CPU,0.3766
TVAE,"(32, 16)",CPU,0.3525
TVAE,"(32, 16)",CPU,0.4678
TVAE,"(32, 16)",CPU,0.4389
TVAE,"(32, 16)",CPU,0.402
TVAE,"(32, 16)",CPU,0.3201
TVAE,"(32, 16)",CPU,0.3184
TVAE,"(32, 16)",CPU,0.4799
TVAE,"(32, 16)",CPU,0.3805
TVAE,"(32, 16)",CPU,0.4018
TVAE,"(32, 16)",CPU,0.3464
TVAE,"(32, 16)",CPU,0.4175
TVAE,"(32, 16)",CPU,0.3722
TVAE,"(32, 16)",CPU,0.3191
TVAE,"(32, 16)",CPU,0.3344
TVAE,"(32, 16)",CPU,0.3203
TVAE,"(32, 16)",CPU,0.3319
TVAE,"(32, 16)",CPU,0.3877
TVAE,"(32, 16)",CPU,0.4129
TVAE,"(32, 16)",CPU,0.3285
TVAE,"(32, 16)",CPU,0.2845
TVAE,"(32, 16)",CPU,0.3329
TVAE,"(32, 16)",CPU,0.3545
TVAE,"(32, 16)",CPU,0.3418
TVAE,"(32, 16)",CPU,0.5298
TVAE,"(32, 16)",CPU,0.338
TVAE,"(32, 16)",CPU,0.3601
TVAE,"(32, 16)",CPU,0.5396
TVAE,"(32, 16)",CPU,0.5186
TVAE,"(32, 16)",CPU,0.4379
TVAE,"(32, 16)",CPU,0.3773
TVAE,"(32, 16)",CPU,0.3313
TVAE,"(32, 16)",CPU,0.3262
TVAE,"(32, 16)",CPU,0.3554
TVAE,"(32, 16)",CPU,0.2889
TVAE,"(32, 16)",CPU,0.3337
TVAE,"(32, 16)",CPU,0.3361
TVAE,"(32, 16)",CPU,0.3215
TVAE,"(32, 16)",CPU,0.3196
TVAE,"(32, 16)",CPU,0.307
TVAE,"(32, 16)",CPU,0.3974
TVAE,"(32, 16)",CPU,0.407
TVAE,"(32, 16)",CPU,0.2974
TVAE,"(32, 16)",CPU,0.3708
TVAE,"(32, 16)",CPU,0.3669
TVAE,"(32, 16)",CPU,0.3308
TVAE,"(32, 16)",CPU,0.3323
TVAE,"(32, 16)",CPU,0.3875
TVAE,"(32, 16)",CPU,0.31
TVAE,"(32, 16)",CPU,0.4434
TVAE,"(32, 16)",CPU,0.4394
TVAE,"(32, 16)",CPU,0.4388
TVAE,"(32, 16)",CPU,0.3917
TVAE,"(32, 16)",CPU,0.3937
TVAE,"(32, 16)",CPU,0.408
TVAE,"(32, 16)",CPU,0.3341
TVAE,"(32, 16)",CPU,0.3929
TVAE,"(32, 16)",CPU,0.3614
TVAE,"(32, 16)",CPU,0.3362
TVAE,"(32, 16)",CPU,0.3061
TVAE,"(32, 16)",CPU,0.3866
TVAE,"(32, 16)",CPU,0.3738
TVAE,"(32, 16)",CPU,0.3492
TVAE,"(32, 16)",CPU,0.3642
TVAE,"(32, 16)",CPU,0.4237
TVAE,"(32, 16)",CPU,0.417
TVAE,"(32, 16)",CPU,0.2863
TVAE,"(32, 16)",CPU,0.4656
TVAE,"(32, 16)",CPU,0.2786
TVAE,"(32, 16)",CPU,0.365
TVAE,"(32, 16)",CPU,0.4536
TVAE,"(32, 16)",CPU,0.298
TVAE,"(32, 16)",CPU,0.2919
TVAE,"(32, 16)",CPU,0.3462
TVAE,"(32, 16)",CPU,0.35
TVAE,"(32, 16)",CPU,0.3501
TVAE,"(32, 16)",CPU,0.3891
TVAE,"(32, 16)",CPU,0.345
TVAE,"(32, 16)",CPU,0.3774
TVAE,"(32, 16)",CPU,0.3363
TVAE,"(32, 16)",CPU,0.3079
TVAE,"(32, 16)",CPU,0.3948
TVAE,"(32, 16)",CPU,0.3157
TVAE,"(32, 16)",CPU,0.2765
TVAE,"(32, 16)",CPU,0.4596
TVAE,"(32, 16)",CPU,0.3446
TVAE,"(32, 16)",CPU,0.2847
TVAE,"(32, 16)",CPU,0.326
TVAE,"(32, 16)",CPU,0.3277
TVAE,"(32, 16)",CPU,0.3646
TVAE,"(32, 16)",CPU,0.3616
TVAE,"(32, 16)",CPU,0.362
TVAE,"(32, 16)",CPU,0.3922
TVAE,"(32, 16)",CPU,0.4489
TVAE,"(32, 16)",CPU,0.4362
TVAE,"(32, 16)",CPU,0.2872
TVAE,"(32, 16)",CPU,0.3041
TVAE,"(32, 16)",CPU,0.3108
TVAE,"(32, 16)",CPU,0.378
TVAE,"(32, 16)",CPU,0.2949
TVAE,"(32, 16)",CPU,0.3313
TVAE,"(32, 16)",CPU,0.3451
TVAE,"(32, 16)",CPU,0.3803
TVAE,"(32, 16)",CPU,0.2968
TVAE,"(32, 16)",CPU,0.3477
TVAE,"(32, 16)",CPU,0.3363
TVAE,"(32, 16)",CPU,0.3514
TVAE,"(32, 16)",CPU,0.2999
TVAE,"(32, 16)",CPU,0.313
TVAE,"(32, 16)",CPU,0.3512
TVAE,"(32, 16)",CPU,0.4779
TVAE,"(32, 16)",CPU,0.3419
TVAE,"(32, 16)",CPU,0.3693
TVAE,"(32, 16)",CPU,0.3551
TVAE,"(32, 16)",CPU,0.3506
TVAE,"(32, 16)",CPU,0.33
TVAE,"(32, 16)",CPU,0.3542
TVAE,"(32, 16)",CPU,0.3979
TVAE,"(32, 16)",CPU,0.3854
TVAE,"(32, 16)",CPU,0.3662
TVAE,"(32, 16)",CPU,0.3047
TVAE,"(32, 16)",CPU,0.3695
TVAE,"(32, 16)",CPU,0.479
TVAE,"(32, 16)",CPU,0.3516
TVAE,"(32, 16)",CPU,0.3864
TVAE,"(32, 16)",CPU,0.4958
TVAE,"(32, 16)",CPU,0.4989
TVAE,"(32, 16)",CPU,0.3772
TVAE,"(32, 16)",CPU,0.3963
TVAE,"(32, 16)",CPU,0.4324
TVAE,"(32, 16)",CPU,0.3223
TVAE,"(32, 16)",CPU,0.3352
TVAE,"(32, 16)",CPU,0.3506
TVAE,"(32, 16)",CPU,0.3549
TVAE,"(32, 16)",CPU,0.3238
TVAE,"(32, 16)",CPU,0.3914
TVAE,"(32, 16)",CPU,0.3613
TVAE,"(32, 16)",CPU,0.2854
TVAE,"(32, 16)",CPU,0.3251
TVAE,"(32, 16)",CPU,0.3527
TVAE,"(32, 16)",CPU,0.3709
TVAE,"(32, 16)",CPU,0.2956
TVAE,"(32, 16)",CPU,0.4332
TVAE,"(32, 16)",CPU,0.3435
TVAE,"(32, 16)",CPU,0.3609
TVAE,"(32, 16)",CPU,0.3549
TVAE,"(32, 16)",CPU,0.3254
TVAE,"(32, 16)",CPU,0.3526
TVAE,"(32, 16)",CPU,0.3541
TVAE,"(32, 16)",CPU,0.4197
TVAE,"(32, 16)",CPU,0.4377
TVAE,"(32, 16)",CPU,0.452
TVAE,"(32, 16)",CPU,0.3372
TVAE,"(32, 16)",CPU,0.3495
TVAE,"(32, 16)",CPU,0.3816
TVAE,"(32, 16)",CPU,0.3454
TVAE,"(32, 16)",CPU,0.5879
TVAE,"(32, 16)",CPU,0.3549
TVAE,"(32, 16)",CPU,0.3422
TVAE,"(32, 16)",CPU,0.3319
TVAE,"(32, 16)",CPU,0.252
TVAE,"(32, 16)",CPU,0.2461
TVAE,"(32, 16)",CPU,0.2852
TVAE,"(32, 16)",CPU,0.2509
TVAE,"(32, 16)",CPU,0.2314
TVAE,"(32, 16)",CPU,0.2781
TVAE,"(32, 16)",CPU,0.2355
TVAE,"(32, 16)",CPU,0.2991
TVAE,"(32, 16)",CPU,0.2933
TVAE,"(32, 16)",CPU,0.2663
TVAE,"(32, 16)",CPU,0.3213
TVAE,"(32, 16)",CPU,0.3093
TVAE,"(32, 16)",CPU,0.3184
TVAE,"(32, 16)",CPU,0.3251
TVAE,"(32, 16)",CPU,0.3184
TVAE,"(32, 16)",CPU,0.3139
TVAE,"(32, 16)",CPU,0.3077
TVAE,"(32, 16)",CPU,0.2872
TVAE,"(32, 16)",CPU,0.2722
TVAE,"(32, 16)",CPU,0.2435
TVAE,"(32, 16)",CPU,0.2361
TVAE,"(32, 16)",CPU,0.2329
TVAE,"(32, 16)",CPU,0.2311
TVAE,"(32, 16)",CPU,0.272
TVAE,"(32, 16)",CPU,0.2382
TVAE,"(32, 16)",CPU,0.233
TVAE,"(32, 16)",CPU,0.2326
TVAE,"(32, 16)",CPU,0.2433
TVAE,"(32, 16)",CPU,0.2319
TVAE,"(32, 16)",CPU,0.2617
TVAE,"(32, 16)",CPU,0.2809
TVAE,"(32, 16)",CPU,0.2342
TVAE,"(32, 16)",CPU,0.2327
TVAE,"(32, 16)",CPU,0.2329
TVAE,"(32, 16)",CPU,0.2342
TVAE,"(32, 16)",CPU,0.2904
TVAE,"(32, 16)",CPU,0.2897
TVAE,"(32, 16)",CPU,0.2937
TVAE,"(32, 16)",CPU,0.2894
TVAE,"(32, 16)",CPU,0.2904
TVAE,"(32, 16)",CPU,0.3248
TVAE,"(32, 16)",CPU,0.2932
TVAE,"(32, 16)",CPU,0.2988
TVAE,"(32, 16)",CPU,0.3045
TVAE,"(32, 16)",CPU,0.2922
TVAE,"(32, 16)",CPU,0.3036
TVAE,"(32, 16)",CPU,0.3182
TVAE,"(32, 16)",CPU,0.3104
TVAE,"(32, 16)",CPU,0.3286
TVAE,"(32, 16)",CPU,0.3074
TVAE,"(32, 16)",CPU,0.3218
TVAE,"(32, 16)",CPU,0.3166
TVAE,"(32, 16)",CPU,0.2904
TVAE,"(32, 16)",CPU,0.284
TVAE,"(32, 16)",CPU,0.2317
TVAE,"(32, 16)",CPU,0.2365
TVAE,"(32, 16)",CPU,0.232
TVAE,"(32, 16)",CPU,0.2646
TVAE,"(32, 16)",CPU,0.2979
TVAE,"(32, 16)",CPU,0.2972
TVAE,"(32, 16)",CPU,0.2323
TVAE,"(32, 16)",CPU,0.3069
TVAE,"(32, 16)",CPU,0.3245
TVAE,"(32, 16)",CPU,0.3114
TVAE,"(32, 16)",CPU,0.3073
TVAE,"(32, 16)",CPU,0.3204
TVAE,"(32, 16)",CPU,0.3269
TVAE,"(32, 16)",CPU,0.312
TVAE,"(32, 16)",CPU,0.3055
TVAE,"(32, 16)",CPU,0.2822
TVAE,"(32, 16)",CPU,0.2357
TVAE,"(32, 16)",CPU,0.2396
TVAE,"(32, 16)",CPU,0.2325
TVAE,"(32, 16)",CPU,0.2859
TVAE,"(32, 16)",CPU,0.232
TVAE,"(32, 16)",CPU,0.2627
TVAE,"(32, 16)",CPU,0.234
TVAE,"(32, 16)",CPU,0.2355
TVAE,"(32, 16)",CPU,0.2314
TVAE,"(32, 16)",CPU,0.2345
TVAE,"(32, 16)",CPU,0.2334
TVAE,"(32, 16)",CPU,0.264
TVAE,"(32, 16)",CPU,0.2355
TVAE,"(32, 16)",CPU,0.2375
TVAE,"(32, 16)",CPU,0.2332
TVAE,"(32, 16)",CPU,0.2401
TVAE,"(32, 16)",CPU,0.233
TVAE,"(32, 16)",CPU,0.2701
TVAE,"(32, 16)",CPU,0.232
TVAE,"(32, 16)",CPU,0.2345
TVAE,"(32, 16)",CPU,0.2333
TVAE,"(32, 16)",CPU,0.2343
TVAE,"(32, 16)",CPU,0.2305
TVAE,"(32, 16)",CPU,0.248
TVAE,"(32, 16)",CPU,0.3194
TVAE,"(32, 16)",CPU,0.3147
TVAE,"(32, 16)",CPU,0.3155
TVAE,"(32, 16)",CPU,0.2879
TVAE,"(32, 16)",CPU,0.234
TVAE,"(32, 16)",CPU,0.2637
TVAE,"(32, 16)",CPU,0.2481
TVAE,"(32, 16)",CPU,0.2618
TVAE,"(32, 16)",CPU,0.2401
TVAE,"(32, 16)",CPU,0.2569
TVAE,"(32, 16)",CPU,0.3228
TVAE,"(32, 16)",CPU,0.3176
TVAE,"(32, 16)",CPU,0.3149
TVAE,"(32, 16)",CPU,0.3094
TVAE,"(32, 16)",CPU,0.3045
TVAE,"(32, 16)",CPU,0.3318
TVAE,"(32, 16)",CPU,0.2956
TVAE,"(32, 16)",CPU,0.2661
TVAE,"(32, 16)",CPU,0.3101
TVAE,"(32, 16)",CPU,0.2947
TVAE,"(32, 16)",CPU,0.2925
TVAE,"(32, 16)",CPU,0.2297
TVAE,"(32, 16)",CPU,0.2321
TVAE,"(32, 16)",CPU,0.2806
TVAE,"(32, 16)",CPU,0.259
TVAE,"(32, 16)",CPU,0.2339
TVAE,"(32, 16)",CPU,0.2772
TVAE,"(32, 16)",CPU,0.3058
TVAE,"(32, 16)",CPU,0.3208
TVAE,"(32, 16)",CPU,0.2814
TVAE,"(32, 16)",CPU,0.2339
TVAE,"(32, 16)",CPU,0.2452
TVAE,"(32, 16)",CPU,0.2623
TVAE,"(32, 16)",CPU,0.2387
TVAE,"(32, 16)",CPU,0.2328
TVAE,"(32, 16)",CPU,0.2367
TVAE,"(32, 16)",CPU,0.236
TVAE,"(32, 16)",CPU,0.2359
TVAE,"(32, 16)",CPU,0.2786
TVAE,"(32, 16)",CPU,0.2342
TVAE,"(32, 16)",CPU,0.2411
TVAE,"(32, 16)",CPU,0.2355
TVAE,"(32, 16)",CPU,0.2721
TVAE,"(32, 16)",CPU,0.233
TVAE,"(32, 16)",CPU,0.2378
TVAE,"(32, 16)",CPU,0.2365
TVAE,"(32, 16)",CPU,0.2493
TVAE,"(32, 16)",CPU,0.2334
TVAE,"(32, 16)",CPU,0.272
TVAE,"(32, 16)",CPU,0.2331
TVAE,"(32, 16)",CPU,0.2403
TVAE,"(32, 16)",CPU,0.2627
TVAE,"(32, 16)",CPU,0.3234
TVAE,"(32, 16)",CPU,0.2785
TVAE,"(32, 16)",CPU,0.2959
TVAE,"(32, 16)",CPU,0.2897
TVAE,"(32, 16)",CPU,0.2898
TVAE,"(32, 16)",CPU,0.308
TVAE,"(32, 16)",CPU,0.292
TVAE,"(32, 16)",CPU,0.2923
TVAE,"(32, 16)",CPU,0.2944
TVAE,"(32, 16)",CPU,0.2905
TVAE,"(32, 16)",CPU,0.296
TVAE,"(32, 16)",CPU,0.2328
TVAE,"(32, 16)",CPU,0.2328
TVAE,"(32, 16)",CPU,0.2311
TVAE,"(32, 16)",CPU,0.2354
TVAE,"(32, 16)",CPU,0.2308
TVAE,"(32, 16)",CPU,0.2732
TVAE,"(32, 16)",CPU,0.2322
TVAE,"(32, 16)",CPU,0.2361
TVAE,"(32, 16)",CPU,0.2342
TVAE,"(32, 16)",CPU,0.2344
TVAE,"(32, 16)",CPU,0.234
TVAE,"(32, 16)",CPU,0.2304
TVAE,"(32, 16)",CPU,0.2723
TVAE,"(32, 16)",CPU,0.2378
TVAE,"(32, 16)",CPU,0.231
TVAE,"(32, 16)",CPU,0.2305
TVAE,"(32, 16)",CPU,0.2328
TVAE,"(32, 16)",CPU,0.2332
TVAE,"(32, 16)",CPU,0.2691
TVAE,"(32, 16)",CPU,0.2306
TVAE,"(32, 16)",CPU,0.2322
