epoch,total_loss,recon_loss,kl_loss,sparsity_loss
1,415.5968837738037,327.3456115722656,0.24369275569915771,0.0
2,318.3104839324951,330.3141784667969,0.3136843144893646,0.0
3,255.6178035736084,243.54177856445312,0.9419741034507751,0.0
4,204.54993534088135,145.36166381835938,3.996861219406128,0.0
5,160.04833602905273,122.7411117553711,7.838321208953857,0.0
6,132.7517695426941,121.41847229003906,6.092776775360107,0.0
7,117.96584844589233,91.57473754882812,4.953793525695801,0.0
8,107.86396503448486,86.19466400146484,6.676148414611816,0.0
9,99.33983278274536,108.9410400390625,4.517961025238037,0.0
10,91.43029642105103,70.96273040771484,3.136561870574951,0.0
11,85.4932963848114,37.1103630065918,4.691885471343994,0.0
12,79.9771032333374,81.19001007080078,3.475724458694458,0.0
13,73.60602450370789,69.6712875366211,7.099629878997803,0.0
14,66.7639102935791,68.38457489013672,4.841668605804443,0.0
15,60.55398344993591,63.187721252441406,7.266151428222656,0.0
16,55.93817400932312,50.94745635986328,5.666624546051025,0.0
17,53.29899263381958,54.3531608581543,4.971859931945801,0.0
18,50.54596471786499,49.759395599365234,5.884734153747559,0.0
19,47.992324113845825,33.42232894897461,5.361443042755127,0.0
20,45.944653034210205,43.98098373413086,4.579471111297607,0.0
21,44.40006065368652,27.07465171813965,9.656427383422852,0.0
22,42.16159176826477,22.721086502075195,7.312234401702881,0.0
23,39.79563856124878,35.160030364990234,5.4936981201171875,0.0
24,38.79984211921692,24.69187355041504,7.040478706359863,0.0
25,37.2282155752182,26.852685928344727,7.441745758056641,0.0
26,34.695497274398804,34.30497360229492,8.03181266784668,0.0
27,32.70541846752167,25.298805236816406,6.233911991119385,0.0
28,30.19894242286682,28.1940860748291,7.276683330535889,0.0
29,28.455049753189087,14.15814208984375,8.579465866088867,0.0
30,27.34083068370819,23.186933517456055,7.305726528167725,0.0
31,26.369446992874146,9.393824577331543,7.89093017578125,0.0
32,25.677126288414,21.899566650390625,7.889367580413818,0.0
33,25.500587701797485,21.792686462402344,8.39755916595459,0.0
34,23.82267928123474,16.39825439453125,8.06668758392334,0.0
35,23.680350303649902,20.943754196166992,6.692793369293213,0.0
36,22.58297884464264,18.804861068725586,6.924600124359131,0.0
37,22.144676208496094,13.514460563659668,7.486354351043701,0.0
38,22.047918438911438,12.620981216430664,7.901432037353516,0.0
39,20.643752455711365,17.53925132751465,6.412786960601807,0.0
40,20.756180584430695,18.727575302124023,7.323002815246582,0.0
41,19.55179262161255,10.89871883392334,6.9653520584106445,0.0
42,19.932413578033447,6.764346599578857,7.580113410949707,0.0
43,19.338268220424652,10.52862548828125,8.09595775604248,0.0
44,18.753609240055084,13.492888450622559,7.341353893280029,0.0
45,18.344140887260437,6.555139064788818,7.380578517913818,0.0
46,18.26911151409149,7.358726501464844,7.653995037078857,0.0
47,17.44750964641571,6.941262245178223,7.676844120025635,0.0
48,17.088204085826874,7.890903472900391,7.343257904052734,0.0
49,17.079294621944427,9.686853408813477,6.845241069793701,0.0
50,16.485363006591797,10.594766616821289,6.68386697769165,0.0
51,15.761306166648865,8.988926887512207,6.250149726867676,0.0
52,15.57753211259842,5.980950832366943,6.960002899169922,0.0
53,15.184750020503998,3.21293044090271,7.595594882965088,0.0
54,15.266961395740509,8.636589050292969,7.607036113739014,0.0
55,14.532996356487274,6.431991100311279,7.3177809715271,0.0
56,14.09933477640152,5.357352256774902,6.732031345367432,0.0
