symbolic_formula,modelo,arquitectura,tiempo
0,TVAE,16-8,1.6712816432118416e-05
0,TVAE,16-8,2.7674948796629906e-05
0,TVAE,16-8,1.702900044620037e-05
0,TVAE,16-8,1.686112955212593e-05
0,TVAE,16-8,1.6852980479598045e-05
0,TVAE,16-8,1.71030405908823e-05
0,TVAE,16-8,1.75421591848135e-05
0,TVAE,16-8,1.751701347529888e-05
0,TVAE,16-8,1.6838079318404198e-05
0,TVAE,16-8,1.7212936654686928e-05
0,TVAE,16-8,1.729908399283886e-05
0,TVAE,16-8,1.739407889544964e-05
0,TVAE,16-8,1.6784993931651115e-05
0,TVAE,16-8,1.692003570497036e-05
0,TVAE,16-8,1.7412006855010986e-05
0,TVAE,16-8,1.803506165742874e-05
0,TVAE,16-8,1.912098377943039e-05
0,TVAE,16-8,1.8225982785224915e-05
0,TVAE,16-8,1.8055085092782974e-05
0,TVAE,16-8,1.7662066966295242e-05
0,TVAE,16-8,1.6868114471435547e-05
0,TVAE,16-8,1.706089824438095e-05
0,TVAE,16-8,1.7012935131788254e-05
0,TVAE,16-8,1.7167069017887115e-05
0,TVAE,16-8,1.7391983419656754e-05
0,TVAE,16-8,1.6971956938505173e-05
0,TVAE,16-8,1.722993329167366e-05
0,TVAE,16-8,1.7168931663036346e-05
0,TVAE,16-8,1.6911886632442474e-05
0,TVAE,16-8,1.7045997083187103e-05
0,TVAE,16-8,1.7137965187430382e-05
0,TVAE,16-8,1.7170095816254616e-05
0,TVAE,16-8,1.677684485912323e-05
0,TVAE,16-8,1.692003570497036e-05
0,TVAE,16-8,1.6984064131975174e-05
0,TVAE,16-8,1.67840626090765e-05
0,TVAE,16-8,1.6856007277965546e-05
0,TVAE,16-8,1.6869045794010162e-05
0,TVAE,16-8,3.299908712506294e-05
0,TVAE,16-8,1.713004894554615e-05
0,TVAE,16-8,2.312404103577137e-05
0,TVAE,16-8,1.967698335647583e-05
0,TVAE,16-8,1.8516089767217636e-05
0,TVAE,16-8,1.8007121980190277e-05
0,TVAE,16-8,1.7523067072033882e-05
0,TVAE,16-8,1.761387102305889e-05
0,TVAE,16-8,1.8257880583405495e-05
0,TVAE,16-8,1.8177088350057602e-05
0,TVAE,16-8,1.771608367562294e-05
0,TVAE,16-8,1.9161030650138855e-05
