Model,Architecture,Device,Time_seconds
TVAE,"(10, 5)",CPU,0.3213
TVAE,"(10, 5)",CPU,0.4337
TVAE,"(10, 5)",CPU,0.323
TVAE,"(10, 5)",CPU,0.2652
TVAE,"(10, 5)",CPU,0.348
TVAE,"(10, 5)",CPU,0.294
TVAE,"(10, 5)",CPU,0.2912
TVAE,"(10, 5)",CPU,0.394
TVAE,"(10, 5)",CPU,0.2993
TVAE,"(10, 5)",CPU,0.2657
TVAE,"(10, 5)",CPU,0.2357
TVAE,"(10, 5)",CPU,0.3641
TVAE,"(10, 5)",CPU,0.3974
TVAE,"(10, 5)",CPU,0.2792
TVAE,"(10, 5)",CPU,0.254
TVAE,"(10, 5)",CPU,0.2483
TVAE,"(10, 5)",CPU,0.2723
TVAE,"(10, 5)",CPU,0.2315
TVAE,"(10, 5)",CPU,0.209
TVAE,"(10, 5)",CPU,0.2358
TVAE,"(10, 5)",CPU,0.2436
TVAE,"(10, 5)",CPU,0.2867
TVAE,"(10, 5)",CPU,0.3391
TVAE,"(10, 5)",CPU,0.4434
TVAE,"(10, 5)",CPU,0.3876
TVAE,"(10, 5)",CPU,0.3561
TVAE,"(10, 5)",CPU,0.3774
TVAE,"(10, 5)",CPU,0.2828
TVAE,"(10, 5)",CPU,0.2471
TVAE,"(10, 5)",CPU,0.2341
TVAE,"(10, 5)",CPU,0.2651
TVAE,"(10, 5)",CPU,0.288
TVAE,"(10, 5)",CPU,0.3789
TVAE,"(10, 5)",CPU,0.3204
TVAE,"(10, 5)",CPU,0.2874
TVAE,"(10, 5)",CPU,0.2539
TVAE,"(10, 5)",CPU,0.237
TVAE,"(10, 5)",CPU,0.2294
TVAE,"(10, 5)",CPU,0.3636
TVAE,"(10, 5)",CPU,0.4884
TVAE,"(10, 5)",CPU,0.3291
TVAE,"(10, 5)",CPU,0.241
TVAE,"(10, 5)",CPU,0.2381
TVAE,"(10, 5)",CPU,0.2588
TVAE,"(10, 5)",CPU,0.2862
TVAE,"(10, 5)",CPU,0.2936
TVAE,"(10, 5)",CPU,0.2615
TVAE,"(10, 5)",CPU,0.3001
TVAE,"(10, 5)",CPU,0.3339
TVAE,"(10, 5)",CPU,0.2401
TVAE,"(10, 5)",CPU,0.2552
TVAE,"(10, 5)",CPU,0.2749
TVAE,"(10, 5)",CPU,0.3018
TVAE,"(10, 5)",CPU,0.2225
TVAE,"(10, 5)",CPU,0.2672
TVAE,"(10, 5)",CPU,0.3467
TVAE,"(10, 5)",CPU,0.2628
TVAE,"(10, 5)",CPU,0.2728
TVAE,"(10, 5)",CPU,0.2585
TVAE,"(10, 5)",CPU,0.4245
TVAE,"(10, 5)",CPU,0.2845
TVAE,"(10, 5)",CPU,0.3536
TVAE,"(10, 5)",CPU,0.3265
TVAE,"(10, 5)",CPU,0.2497
TVAE,"(10, 5)",CPU,0.281
TVAE,"(10, 5)",CPU,0.3937
TVAE,"(10, 5)",CPU,0.3024
TVAE,"(10, 5)",CPU,0.2746
TVAE,"(10, 5)",CPU,0.2489
TVAE,"(10, 5)",CPU,0.2302
TVAE,"(10, 5)",CPU,0.2275
TVAE,"(10, 5)",CPU,0.2378
TVAE,"(10, 5)",CPU,0.242
TVAE,"(10, 5)",CPU,0.2228
TVAE,"(10, 5)",CPU,0.2225
TVAE,"(10, 5)",CPU,0.2221
TVAE,"(10, 5)",CPU,0.2208
TVAE,"(10, 5)",CPU,0.2095
TVAE,"(10, 5)",CPU,0.3298
TVAE,"(10, 5)",CPU,0.2272
TVAE,"(10, 5)",CPU,0.2378
TVAE,"(10, 5)",CPU,0.1984
TVAE,"(10, 5)",CPU,0.2646
TVAE,"(10, 5)",CPU,0.2929
TVAE,"(10, 5)",CPU,0.2305
TVAE,"(10, 5)",CPU,0.2664
TVAE,"(10, 5)",CPU,0.2474
TVAE,"(10, 5)",CPU,0.2188
TVAE,"(10, 5)",CPU,0.3361
TVAE,"(10, 5)",CPU,0.3348
TVAE,"(10, 5)",CPU,0.2777
TVAE,"(10, 5)",CPU,0.2534
TVAE,"(10, 5)",CPU,0.2976
TVAE,"(10, 5)",CPU,0.2739
TVAE,"(10, 5)",CPU,0.2419
TVAE,"(10, 5)",CPU,0.2453
TVAE,"(10, 5)",CPU,0.2702
TVAE,"(10, 5)",CPU,0.2706
TVAE,"(10, 5)",CPU,0.2812
TVAE,"(10, 5)",CPU,0.2164
TVAE,"(10, 5)",CPU,0.2695
TVAE,"(10, 5)",CPU,0.2894
TVAE,"(10, 5)",CPU,0.308
TVAE,"(10, 5)",CPU,0.416
TVAE,"(10, 5)",CPU,0.5345
TVAE,"(10, 5)",CPU,0.3777
TVAE,"(10, 5)",CPU,0.2029
TVAE,"(10, 5)",CPU,0.3147
TVAE,"(10, 5)",CPU,0.3378
TVAE,"(10, 5)",CPU,0.2238
TVAE,"(10, 5)",CPU,0.3807
