Model,Architecture,Device,Time_seconds
TVAE,"(64, 32)",CPU,0.4093
TVAE,"(64, 32)",CPU,0.3779
TVAE,"(64, 32)",CPU,0.3332
TVAE,"(64, 32)",CPU,0.4038
TVAE,"(64, 32)",CPU,0.374
TVAE,"(64, 32)",CPU,0.3696
TVAE,"(64, 32)",CPU,0.3334
TVAE,"(64, 32)",CPU,0.3611
TVAE,"(64, 32)",CPU,0.3626
TVAE,"(64, 32)",CPU,0.3687
TVAE,"(64, 32)",CPU,0.4095
TVAE,"(64, 32)",CPU,0.4041
TVAE,"(64, 32)",CPU,0.4136
TVAE,"(64, 32)",CPU,0.4302
TVAE,"(64, 32)",CPU,0.3527
TVAE,"(64, 32)",CPU,0.378
TVAE,"(64, 32)",CPU,0.3834
TVAE,"(64, 32)",CPU,0.4141
TVAE,"(64, 32)",CPU,0.4144
TVAE,"(64, 32)",CPU,0.3903
TVAE,"(64, 32)",CPU,0.386
TVAE,"(64, 32)",CPU,0.4106
TVAE,"(64, 32)",CPU,0.3849
TVAE,"(64, 32)",CPU,0.3476
TVAE,"(64, 32)",CPU,0.3609
TVAE,"(64, 32)",CPU,0.3259
TVAE,"(64, 32)",CPU,0.3322
TVAE,"(64, 32)",CPU,0.3554
TVAE,"(64, 32)",CPU,0.3287
TVAE,"(64, 32)",CPU,0.3272
TVAE,"(64, 32)",CPU,0.3582
TVAE,"(64, 32)",CPU,0.3387
TVAE,"(64, 32)",CPU,0.4021
TVAE,"(64, 32)",CPU,0.3909
TVAE,"(64, 32)",CPU,0.3722
TVAE,"(64, 32)",CPU,0.3244
TVAE,"(64, 32)",CPU,0.3753
TVAE,"(64, 32)",CPU,0.3913
TVAE,"(64, 32)",CPU,0.4092
TVAE,"(64, 32)",CPU,0.3578
TVAE,"(64, 32)",CPU,0.3474
TVAE,"(64, 32)",CPU,0.4003
TVAE,"(64, 32)",CPU,0.3365
TVAE,"(64, 32)",CPU,0.4671
TVAE,"(64, 32)",CPU,0.3835
TVAE,"(64, 32)",CPU,0.4029
TVAE,"(64, 32)",CPU,0.429
TVAE,"(64, 32)",CPU,0.4235
TVAE,"(64, 32)",CPU,0.4035
TVAE,"(64, 32)",CPU,0.3686
TVAE,"(64, 32)",CPU,0.3892
TVAE,"(64, 32)",CPU,0.4039
TVAE,"(64, 32)",CPU,0.3789
TVAE,"(64, 32)",CPU,0.3233
TVAE,"(64, 32)",CPU,0.3291
TVAE,"(64, 32)",CPU,0.3524
TVAE,"(64, 32)",CPU,0.3158
TVAE,"(64, 32)",CPU,0.3808
TVAE,"(64, 32)",CPU,0.4248
TVAE,"(64, 32)",CPU,0.3932
TVAE,"(64, 32)",CPU,0.301
TVAE,"(64, 32)",CPU,0.3021
TVAE,"(64, 32)",CPU,0.3251
TVAE,"(64, 32)",CPU,0.3084
TVAE,"(64, 32)",CPU,0.3016
TVAE,"(64, 32)",CPU,0.2998
TVAE,"(64, 32)",CPU,0.3325
TVAE,"(64, 32)",CPU,0.3007
TVAE,"(64, 32)",CPU,0.2966
TVAE,"(64, 32)",CPU,0.3354
TVAE,"(64, 32)",CPU,0.3004
TVAE,"(64, 32)",CPU,0.3008
TVAE,"(64, 32)",CPU,0.3004
