Model,Architecture,Device,Time_seconds
TVAE,"(16, 8)",CPU,0.0312
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.0331
TVAE,"(16, 8)",CPU,0.0312
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0282
TVAE,"(16, 8)",CPU,0.0278
TVAE,"(16, 8)",CPU,0.0281
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0284
TVAE,"(16, 8)",CPU,0.0284
TVAE,"(16, 8)",CPU,0.0448
TVAE,"(16, 8)",CPU,0.0434
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0356
TVAE,"(16, 8)",CPU,0.0419
TVAE,"(16, 8)",CPU,0.0357
TVAE,"(16, 8)",CPU,0.0324
TVAE,"(16, 8)",CPU,0.0353
TVAE,"(16, 8)",CPU,0.0382
TVAE,"(16, 8)",CPU,0.0353
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0383
TVAE,"(16, 8)",CPU,0.0471
TVAE,"(16, 8)",CPU,0.0324
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.0312
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.0356
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0316
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0324
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0324
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0324
TVAE,"(16, 8)",CPU,0.0306
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0343
TVAE,"(16, 8)",CPU,0.0326
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0408
TVAE,"(16, 8)",CPU,0.0434
TVAE,"(16, 8)",CPU,0.0318
TVAE,"(16, 8)",CPU,0.0311
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0347
TVAE,"(16, 8)",CPU,0.0336
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0315
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0326
TVAE,"(16, 8)",CPU,0.0501
TVAE,"(16, 8)",CPU,0.0385
TVAE,"(16, 8)",CPU,0.0326
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0363
TVAE,"(16, 8)",CPU,0.0346
TVAE,"(16, 8)",CPU,0.0335
TVAE,"(16, 8)",CPU,0.0357
TVAE,"(16, 8)",CPU,0.0372
TVAE,"(16, 8)",CPU,0.0333
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.0326
TVAE,"(16, 8)",CPU,0.0369
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0329
TVAE,"(16, 8)",CPU,0.032
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0311
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0323
TVAE,"(16, 8)",CPU,0.0354
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0341
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0284
TVAE,"(16, 8)",CPU,0.0342
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0329
TVAE,"(16, 8)",CPU,0.0459
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.032
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0303
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0315
TVAE,"(16, 8)",CPU,0.0331
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.048
TVAE,"(16, 8)",CPU,0.0477
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0338
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0284
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0315
TVAE,"(16, 8)",CPU,0.0319
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0282
TVAE,"(16, 8)",CPU,0.0318
TVAE,"(16, 8)",CPU,0.0513
TVAE,"(16, 8)",CPU,0.0369
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0313
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0339
TVAE,"(16, 8)",CPU,0.042
TVAE,"(16, 8)",CPU,0.0488
TVAE,"(16, 8)",CPU,0.0311
TVAE,"(16, 8)",CPU,0.0403
TVAE,"(16, 8)",CPU,0.0365
TVAE,"(16, 8)",CPU,0.034
TVAE,"(16, 8)",CPU,0.0315
TVAE,"(16, 8)",CPU,0.0339
TVAE,"(16, 8)",CPU,0.0308
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0281
TVAE,"(16, 8)",CPU,0.0282
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0316
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.0306
TVAE,"(16, 8)",CPU,0.0317
TVAE,"(16, 8)",CPU,0.034
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0284
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0515
TVAE,"(16, 8)",CPU,0.0377
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0346
TVAE,"(16, 8)",CPU,0.0393
TVAE,"(16, 8)",CPU,0.0337
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0312
TVAE,"(16, 8)",CPU,0.0337
TVAE,"(16, 8)",CPU,0.0321
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0307
TVAE,"(16, 8)",CPU,0.0306
TVAE,"(16, 8)",CPU,0.0329
TVAE,"(16, 8)",CPU,0.0327
TVAE,"(16, 8)",CPU,0.034
TVAE,"(16, 8)",CPU,0.0326
TVAE,"(16, 8)",CPU,0.0283
TVAE,"(16, 8)",CPU,0.0289
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0305
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.0334
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0312
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0477
TVAE,"(16, 8)",CPU,0.0406
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0287
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0301
TVAE,"(16, 8)",CPU,0.0295
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0282
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0285
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0286
TVAE,"(16, 8)",CPU,0.0298
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0311
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0292
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0288
TVAE,"(16, 8)",CPU,0.0297
TVAE,"(16, 8)",CPU,0.0296
TVAE,"(16, 8)",CPU,0.0293
TVAE,"(16, 8)",CPU,0.029
TVAE,"(16, 8)",CPU,0.0294
TVAE,"(16, 8)",CPU,0.0462
TVAE,"(16, 8)",CPU,0.0437
TVAE,"(16, 8)",CPU,0.0299
TVAE,"(16, 8)",CPU,0.0302
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.0318
TVAE,"(16, 8)",CPU,0.0328
TVAE,"(16, 8)",CPU,0.03
TVAE,"(16, 8)",CPU,0.0309
TVAE,"(16, 8)",CPU,0.031
TVAE,"(16, 8)",CPU,0.0291
TVAE,"(16, 8)",CPU,0.0304
TVAE,"(16, 8)",CPU,0.031
