,Error absoluto,Error relativo
0,7.022731864283125,1.156342681866558
1,9.24136404244647,1.2672102307618787
2,4.237438095479995,1.3112521507473263
3,7.944493619552811,1.60515320987108
4,7.077437163654032,1.2983519840975073
5,6.5137599474437975,1.1988810127774094
6,8.072651488050012,1.1263832623964578
7,9.128380488179802,1.0595483159010035
8,7.410885383345392,1.1596114769924495
9,5.092237262859962,1.0864471869727848
10,7.768626284658221,1.276463865960107
11,8.692878483178763,1.4253596403244362
12,7.022731864283125,1.156342681866558
13,8.952158221053871,1.4175766479429461
14,8.984627405741682,1.2116309224639938
15,5.929374328553367,1.2320194399473021
16,7.882204332191621,1.1760965138491524
17,7.729003786166637,1.254862386860127
18,8.851605699724098,1.1606558324752776
19,7.705955652863233,1.572678600980468
20,6.543108270562223,1.0384318070941054
21,8.338893179628133,1.1582791926264682
22,6.812225055586255,1.3585644049536398
23,6.314648361833876,0.9442849498638508
24,6.46412790922111,1.1802548802555606
25,7.887751175412126,1.3435899622455574
26,6.738626061790004,1.0596079508751122
27,4.311888796803378,1.1130422667819926
28,8.337503633837072,1.1081178047740015
29,6.95009235837935,1.1532297949964492
30,7.824232824611954,1.3715705490353043
31,8.668271808086118,1.122805425326922
32,6.221856248109507,1.0723914325969437
33,6.168239346804591,1.082504787175214
34,8.549169168284447,1.5123767283157319
35,7.658240093603549,1.0582261430782236
36,9.4450821558783,1.148279379855497
37,5.968817838925183,0.9396916847298752
38,5.2597229772030305,1.2435634452786473
39,7.50662190343889,1.399860101018947
40,9.296145705348401,1.386642202138919
41,6.6496063655320805,1.3420857464538651
42,8.19166863821189,1.34696525929571
43,9.619911823124482,1.06661830870303
44,6.004490593639391,1.3825560383882527
45,4.99212800762272,1.0553715698662713
46,9.53870510228813,1.2381497266261325
47,7.793718478011757,1.139161125393988
48,7.093414875861476,1.6568146438825577
49,6.765539928778564,1.5407809600499338
50,7.486483013064035,1.163392888172763
51,7.158932164169682,1.026760359686522
52,5.428422663598842,0.9751926621731429
53,6.439696991431598,1.061541040835379
54,6.184175712512411,1.2161257984832723
55,5.711455024143971,1.0261055332647393
56,8.797109298258492,1.2499406893178961
57,5.89780763678407,0.9203958558464801
58,8.851605699724098,1.1606558324752776
59,9.651595227719731,1.211669780743132
60,7.8091911108491034,1.159340248828095
61,8.930554018278249,1.3854769609007251
62,7.812968228200696,1.0367103063702114
63,4.237438095479995,1.3112521507473263
64,9.610873236910638,1.4752890771526306
65,5.593064649110867,1.070890732316761
66,7.022731864283125,1.156342681866558
67,7.543739145418218,1.0071500281674988
68,5.955997452877807,1.0336519194440643
69,7.618490534227464,1.1745792982745908
70,8.220534870250292,1.0722391350799112
71,6.02674817723735,1.0911700359794374
72,9.641803546465205,1.4224309577021792
73,9.175810855278817,1.1182739944489746
74,5.654582160289144,1.4195049790443572
75,9.292339982326142,1.132688022399077
76,6.742496751958752,1.173507821491693
77,7.781381737169941,1.2714731560501975
78,9.51295099589471,1.3926007941705674
79,6.106913162928027,0.9365204762897384
80,5.959497330278914,0.9230478079639594
81,6.90617823201086,0.9544737353034773
82,5.673599961325083,1.1183425810833143
83,7.48609330528673,1.179385599097531
84,7.086422428022428,0.9973220912864372
85,5.89780763678407,0.9203958558464801
86,7.091105754268789,1.1851444516281642
87,4.542408695957909,1.112418301596715
88,7.441775824242438,1.5084661200749387
89,10.614185612242121,1.3976429253146574
90,6.99482050779368,1.3098068655318609
91,5.687946641812809,1.0732125558888264
92,8.398367143663897,1.278963932867954
93,5.687946641812809,1.0732125558888264
94,7.708079140197472,1.0711992136282422
95,9.562377061866348,1.3829428431230482
96,6.4996484879959455,1.7433298089974505
97,6.564482104561421,1.1643726342863896
98,8.471297552828403,1.3197552217537072
99,8.405766749254145,1.3277015155023757
Media,7.3375269491917585,1.2061069615111908
